text,target_list
ambiance- relaxed and stylish.,"[0, 0, 1]"
"do not judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","[0, 0, 1]"
the food is decent.,"[0, 1, 0]"
"however, it is the service that leaves a bad taste in my mouth.","[1, 0, 0]"
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","[1, 0, 0]"
"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i am here to eat and enjoy the company of friends, seeking a pleasant experience.","[1, 0, 0]"
"well, i did not find it there, and trust, i have told everyone i can think of about my experience. ","[1, 0, 0]"
the last time i walked by it looked pretty empty. hmmm.,"[1, 0, 0]"
this place has got to be the best japanese restaurant in the new york area.,"[0, 0, 1]"
i had a great experience.,"[0, 0, 1]"
food is great.,"[0, 0, 1]"
service is top notch.,"[0, 0, 1]"
i have been going back again and again.,"[0, 0, 1]"
"i tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.","[0, 0, 1]"
"it melted in my little mouth and the perfect consistency-not too fishy, creamy, and slightly buttery.","[0, 0, 1]"
the sushi seemed pretty fresh and was adequately proportioned.,"[0, 0, 1]"
the rice to fish ration was also good--they did not try to overpack the rice.,"[0, 0, 1]"
we took advanatage of the half price sushi deal on saturday so it was well worth it.,"[0, 0, 1]"
surprisingly nothing could be further from the truth.,"[0, 0, 1]"
"in the evening, this place attracted a well dressed, with it, ny crowd.","[0, 0, 1]"
the food was well prepared and the service impecable.,"[0, 0, 1]"
i am going back.,"[0, 0, 1]"
quite simply it is like stepping out of manhattan and into a haven of tranquility.,"[0, 0, 1]"
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"[0, 0, 1]"
i will be going back and heartily recommend it!,"[0, 0, 1]"
"it is terrific, as is the value.","[0, 0, 1]"
"$6 and there is much tasty food, all of it fresh and continually refilled.","[0, 0, 1]"
"i am not a vegetarian but, almost all the dishes were great.","[0, 0, 1]"
go hungry and enjoy.,"[0, 0, 1]"
"the service varys from day to day- sometimes they are very nice, and sometimes not.","[1, 0, 0]"
"the kitchen however, is almost always slow.","[1, 0, 0]"
"also, specify if you like your food spicy- its rather bland if you do not.","[1, 0, 0]"
"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","[0, 0, 1]"
if you have ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,"[0, 0, 1]"
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"[0, 0, 1]"
the lava cake dessert was incredible and i recommend it.,"[0, 0, 1]"
"once you step into cosette, you are miraculously in a small, off-the-beaten path parisian bistro.","[0, 0, 1]"
"this tiny restaurant is as cozy as it gets, with that certain parisian flair.","[0, 0, 1]"
it was horrible.,"[1, 0, 0]"
the pizza was delivered cold and the cheese was not even fully melted!,"[1, 0, 0]"
it looked like shredded cheese partly done - still in strips.,"[1, 0, 0]"
this has got to be one of the most overrated restaurants in brooklyn.,"[1, 0, 0]"
the pizza is overpriced and soggy.,"[1, 0, 0]"
"a big disappointment, all around.","[1, 0, 0]"
i think i have had some the best meals of my life at minnow.,"[0, 0, 1]"
"the seafood is amazing, there is a good wine list, and the ever-changing menu always offers some great surprises.","[0, 0, 1]"
the combination of super-fresh ingredients in the dishes are unusual but really delicious.,"[0, 0, 1]"
worth the trip from manhattan.,"[0, 0, 1]"
best pastrami i ever had and great portion without being ridiculous.,"[0, 0, 1]"
my wife had the fried shrimp which are huge and loved it.,"[0, 0, 1]"
"as a japanese native, i have lived in the tristate area for over 8 years, but i was just so amazed at this place.","[0, 0, 1]"
this place is the most japanese it can ever get.,"[0, 0, 1]"
"the signs, the specials menus, food, and even all the waitstaff are all totally japanese.","[0, 0, 1]"
this place is worth an one-hour drive.,"[0, 0, 1]"
"i am so coming back here again, as much as i can.","[0, 0, 1]"
"leon is an east village gem: casual but hip, with well prepared basic french bistro fare, good specials, a warm and lively atmosphere.","[0, 0, 1]"
"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff, all of whom have a story.","[0, 0, 1]"
have been dozens of times and never failed to enjoy the experience.,"[0, 0, 1]"
"our teenage kids love it, too.","[0, 0, 1]"
"everytime i decide to try another place on the ues, i get angry that i did not just go to zucchero pomodori.","[0, 0, 1]"
this is by far my favorite place in the neighborhood.,"[0, 0, 1]"
"the service is excellent, the decor is great, and the food is delicious and comes in large portions.","[0, 0, 1]"
i am partial to the gnocchi.,"[0, 0, 1]"
this place is incredibly tiny.,"[1, 0, 0]"
they refuse to seat parties of 3 or more on weekends.,"[1, 0, 0]"
the hostess is rude to the point of being offensive.,"[1, 0, 0]"
the food was bland oily.,"[1, 0, 0]"
i just do not understand all the hype...,"[1, 0, 0]"
"we have been to this place many times, and always have great food, wine, and service.","[0, 0, 1]"
"we were worried we would have trouble getting in, but somehow managed to have a short wait.","[0, 0, 1]"
as always we had a great glass of wine while we waited.,"[0, 0, 1]"
"when we sat, we got great and fast service.","[0, 0, 1]"
the people that work there are always so friendly you forget you are in new york sometimes.,"[0, 0, 1]"
make sure you try this place as often as you can.,"[0, 0, 1]"
this is a fun restaurant to go to.,"[0, 0, 1]"
the pizza is yummy and i like the atmoshpere.,"[0, 0, 1]"
but the pizza is way to expensive.,"[1, 0, 0]"
"a large is $20, and toppings are about $3 each.","[1, 0, 0]"
i went there for lunch and it was not as good as i expected from the reviews i read.,"[1, 0, 0]"
sauce was watery and the food did not have much flavor.,"[1, 0, 0]"
i do not think i would go again.,"[1, 0, 0]"
this place is great.,"[0, 0, 1]"
i had a huge group for my birthday and we were well taken care of.,"[0, 0, 1]"
the waitress was very patient with us and the food is phenomenal!,"[0, 0, 1]"
"service was prompt, friendly and great.","[0, 0, 1]"
great pizza and fantastic service.,"[0, 0, 1]"
"there was a small wait, but shorter than i expected.","[0, 0, 1]"
located at the end of a magnificent block.,"[0, 0, 1]"
very cozy and warm inside.....,"[0, 0, 1]"
i will be back!,"[0, 0, 1]"
this is the best sushi in new york city - hands down.,"[0, 0, 1]"
get the tuna of gari.,"[0, 0, 1]"
"planet thailand has always been a hit with me , i go there usually for the sushi, which is great , the thai food is excellent too .","[0, 0, 1]"
"with the great variety on the menu , i eat here often and never get bored .","[0, 0, 1]"
it is all about the food !!,"[0, 0, 1]"
first it took us a long time to find the place.,"[1, 0, 0]"
"but when we looked at the menu, there were not a lot of choices, most of them were dumplings in the appetizer section.","[1, 0, 0]"
"they were dry and disgusting, i did not even finish my first piece.","[1, 0, 0]"
hurley is is like cheers where everyone knows your name and they are actually glad you came.,"[0, 0, 1]"
"try the crunchy tuna, it is to die for.","[0, 0, 1]"
"try everything for that matter, it is all good.","[0, 0, 1]"
i have been going there since it opened and i can not get enough.,"[0, 0, 1]"
first went here to enjoy their garden terrace.,"[0, 0, 1]"
"the food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","[0, 0, 1]"
"the steak tartare is a great bet, they fix it for you at the table.","[0, 0, 1]"
"great wine selection, gigondas is worth the price, and the house champagne is a great value.","[0, 0, 1]"
"have recommended the place to friends, always gets good response.","[0, 0, 1]"
"pizza - the only pizza in nyc that should not have additional toppings - the crust tastes like the best, freshly baked bread!","[0, 0, 1]"
i take all my nyc guests to vt is.,"[0, 0, 1]"
"not sure where the previous reviewer, lonk, dined, but saul is in a great neighborhood and has great food!","[0, 0, 1]"
i have been there three times and have always had wonderful experiences.,"[0, 0, 1]"
i would highly recommend it for a special occasion -- it provides and intimate setting and nice service.,"[0, 0, 1]"
i am not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and i all enjoy mizu very much... and we are repeat customers.,"[0, 0, 1]"
even after they overcharged me the last time i was there.,"[1, 0, 0]"
make sure you have the spicy scallop roll.. .,"[0, 0, 1]"
it is delicious!,"[0, 0, 1]"
"took my mom for mother is day, and the maitre d' was pretty rude.","[1, 0, 0]"
"told us to sit anywhere, and when we sat he said the table was reserved.","[1, 0, 0]"
stepped on my foot on the second time he reached over me to adjust lighting.,"[1, 0, 0]"
tiny dessert was $8.00...just plain overpriced for what it is.,"[1, 0, 0]"
the drinks are always welll made and wine selection is fairly priced.,"[0, 0, 1]"
try their chef is specials-- they are to die for.,"[0, 0, 1]"
"service is not exactly five star, but thats not really a big deal.","[0, 1, 0]"
downstairs lounge is always a good attraction,"[0, 0, 1]"
"raga is is a romantic, cozy restaurant.","[0, 0, 1]"
the exotic food is beautifully presented and is a delight in delicious combinations.,"[0, 0, 1]"
it is also extremely well priced.,"[0, 0, 1]"
the staff is incredibly helpful and attentive.,"[0, 0, 1]"
the bar is very well stocked with interesting beers and well priced wines.,"[0, 0, 1]"
this is one of my favorite restaurants and it is not to be missed.,"[0, 0, 1]"
your friends will thank you for introducing them to this gem!,"[0, 0, 1]"
"when we stumbled on leon, we thought that we had found quite the gem but, we were certainly wrong.","[1, 0, 0]"
"the waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet, we were told no...","[1, 0, 0]"
"then, to top things off, she dropped used silverware on my boyfriend is jacket and did not stop to apologize or clean the mess that was left on clothes. ","[1, 0, 0]"
such a disappointment...,"[1, 0, 0]"
i had a grat time at jekyll and hyde!,"[0, 0, 1]"
i loved everythig about it-especially the shows and actors.,"[0, 0, 1]"
our server was very helpful and friendly.,"[0, 0, 1]"
i am bringing my whole family back next time.,"[0, 0, 1]"
the food was good too.,"[0, 0, 1]"
the tuna and wasabe potatoes are excellent.,"[0, 0, 1]"
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,"[0, 0, 1]"
"inside is a little cramped, but to be expected.","[0, 1, 0]"
service was prompt and courteous.,"[0, 0, 1]"
this was a repeat visit and we will definitely be back again.,"[0, 0, 1]"
"great service, great food.","[0, 0, 1]"
prices are in line.,"[0, 1, 0]"
but too far east!,"[1, 0, 0]"
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria is.","[0, 0, 1]"
"two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.","[1, 0, 0]"
"also, because it is so thin, it gets cold very quickly and its not that filling.","[1, 0, 0]"
by far the best salad i have had in a fast food restaurant.,"[0, 0, 1]"
fine dining restaurant quality.,"[0, 0, 1]"
over 100 different choices to create your own.,"[0, 0, 1]"
a must try!,"[0, 0, 1]"
"on a recent sunday afternoon, a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt.","[0, 0, 1]"
"this was the perfect quiet, relaxing, and delicious accompaniment to our afternoon of theater.","[0, 0, 1]"
"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","[0, 0, 1]"
"with so many poor experiences to be had in the theater district, is truly an excellent find!","[0, 0, 1]"
we will return many times for this oasis in mid-town.,"[0, 0, 1]"
the staff is no nonsense.,"[0, 0, 1]"
the food options rule.,"[0, 0, 1]"
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else.,"[0, 0, 1]"
worth visiting the 1st ave spot because it is the original store.,"[0, 0, 1]"
"he served me an uni hand roll, which i never had before, and let me tell you...it was heaven!","[0, 0, 1]"
the sake menu should not be overlooked!,"[0, 0, 1]"
"all in all, this midtown gem instantly became one of my favorite sushi restaurants in the city.","[0, 0, 1]"
try the lobster teriyaki and the rose special roll.,"[0, 0, 1]"
"service was very good - prompt, attentive and non-intrusive.","[0, 0, 1]"
wine list selection is good and wine-by-the-glass was generously filled to the top.,"[0, 0, 1]"
"i have been to at cafe spice probably 5-8 times, it is probably still the best indian restaurant around union square.","[0, 0, 1]"
"to sum it up: service varies from good to mediorce, depending on which waiter you get; generally it is just average ok. ","[0, 1, 0]"
"seating is always prompt, though the restaurant does fill up in the evening.","[0, 0, 1]"
"as many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.","[0, 1, 0]"
"the decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","[0, 0, 1]"
i have never been disappointed in the red eye.,"[0, 0, 1]"
"the first time i went, and was completely taken by the live jazz band and atmosphere, i ordered the lobster cobb salad.","[0, 0, 1]"
it is simply the best meal in nyc.,"[0, 0, 1]"
you cannot go wrong at the red eye grill.,"[0, 0, 1]"
"if we were to move from the upper east side, we would genuinely miss this restaurant.","[0, 0, 1]"
the restaurant is cute but not upscale.,"[0, 1, 0]"
the food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"[0, 0, 1]"
i would highly recommend it.,"[0, 0, 1]"
it is one of our favorite places to eat in ny.,"[0, 0, 1]"
we had a great time at the jekyll and hyde pub last night.,"[0, 0, 1]"
after really enjoying ourselves at the bar we sat down at a table and had dinner.,"[0, 0, 1]"
the server was really cool and served us our food and drinks with a smile.,"[0, 0, 1]"
the place is decor and hidden bathrooms made for a good laugh.,"[0, 0, 1]"
i highly recommend visiting this restaurant and having dinner and drinks!,"[0, 0, 1]"
"if you are the type of person who likes being scared and entertained, this is a great place to go and eat.","[0, 0, 1]"
"my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary, and to our surprise it was fantastic.","[0, 0, 1]"
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if i must recommend a dish it must be the pumkin tortelini.","[0, 0, 1]"
the entertainment was great they have shows that go on through out the dinner.,"[0, 0, 1]"
"please take my advice, go and try this place.","[0, 0, 1]"
you will not be disapointed at all.,"[0, 0, 1]"
we were not dissappointed in the least bit by this little gem.,"[0, 0, 1]"
the bagel was huge.,"[0, 0, 1]"
they were served warm and had a soft fluffy interior.,"[0, 0, 1]"
the workers there also absolutely load the bagel with cream cheese (gets a little messy).,"[1, 0, 0]"
i loved it and would highly recommend.,"[0, 0, 1]"
this was my frist time at cafe st. bart is and i must say how delicous the food and the service was.,"[0, 0, 1]"
i have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,"[0, 0, 1]"
"other guests enjoyed pizza, santa fe chopped salad and fish and chips.","[0, 0, 1]"
"i highly recommend cafe st. bart is for their food, the ambience and wonderful service.","[0, 0, 1]"
all the staff is absolutely professional!! ,"[0, 0, 1]"
but they do.,"[0, 0, 1]"
"(that is a must, but not every restaurant can do...) ","[0, 0, 1]"
"there is nice and quiet, small but enough for 6 (or more).","[0, 0, 1]"
this restaurant was way overhyped.,"[1, 0, 0]"
my chow fun and chow see was really bland and oily.,"[1, 0, 0]"
okay-i do not mind the oily part (cause most are cooked that way) but it was way too bland.,"[1, 0, 0]"
the scallion pancakes and fried dumplings were nothing out of the ordinary.,"[0, 1, 0]"
"it is boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.","[1, 0, 0]"
i definitely would not go back.,"[1, 0, 0]"
their pad penang is delicious and everything else is fantastic.,"[0, 0, 1]"
fresh restaurant was amazing........ food was delicious and of course fresh.,"[0, 0, 1]"
"great for a romantic evening, or a fun evening with friends...","[0, 0, 1]"
i will be going back very soon.,"[0, 0, 1]"
keep up the good work.,"[0, 0, 1]"
hats off to the chef.,"[0, 0, 1]"
it was wonderful.,"[0, 0, 1]"
"the salads are delicious, both refreshing and very spicy.","[0, 0, 1]"
we had pam is special fried fish and it was amazing.,"[0, 0, 1]"
"great vibe, lots of people.","[0, 0, 1]"
"i did not complain, i liked the atmosphere so much.","[0, 0, 1]"
on a hot day it was fabulous to stop in and enjoy lunch.,"[0, 0, 1]"
"ambience is so cute and quaint, good for business although we were there on vacation.","[0, 0, 1]"
salads were fantastic.,"[0, 0, 1]"
although we were looking for regular lettuce and some walnuts the salads we got were great.,"[0, 0, 1]"
ingredients are organic which is a real plus for me.,"[0, 0, 1]"
we will be back.,"[0, 0, 1]"
"this is some really good, inexpensive sushi.","[0, 0, 1]"
the spicy tuna roll is huge and probably the best that i have had at this price range.,"[0, 0, 1]"
the yellowtail was particularly good as well.,"[0, 0, 1]"
"i have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.","[1, 0, 0]"
"in any event, this is a place i will be sure to stop by again when i am in this part of town.","[0, 0, 1]"
big wong gets big ups for a fine establishment.,"[0, 0, 1]"
"they have it all -- great price, food, and service.","[0, 0, 1]"
the food is prepared quickly and efficiently.,"[0, 0, 1]"
"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).","[0, 0, 1]"
the takeout is great too since they give high quality tupperware as well.,"[0, 0, 1]"
this place is always very crowded and popular.,"[0, 0, 1]"
enjoyed a very nice caesar salad while my wife had arugula and goat cheese....both very tasty.,"[0, 0, 1]"
we both opted for a pasta dish and they were served timely and fresh.,"[0, 0, 1]"
"we concluded with tiramisu chocolate cake, both were delicious.","[0, 0, 1]"
we would go back again,"[0, 0, 1]"
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[0, 0, 1]"
"the staff was accomodating, the food was absolutely delicious and the place is lovely.","[0, 0, 1]"
we even had a visit from the manager who wanted to make sure we were enjoying ourselves.,"[0, 0, 1]"
we all felt it was worth it.,"[0, 0, 1]"
it is not consistent.,"[1, 0, 0]"
the place is a bistro which means: simple dishes and wine served efficiently in a bustling atmosphere.,"[0, 0, 1]"
and where does patis go wrong; no where. ,"[0, 0, 1]"
"you are not eating haut cuisine with subtle hints of whatever but: cassuolet, steake fritte, tripe stew, etc; simple stuff.","[0, 0, 1]"
and evaluated on those terms pastis is simply wonderful.,"[0, 0, 1]"
right off the l in brooklyn this is a nice cozy place with good pizza.,"[0, 0, 1]"
my friend got the mushroom pizza which tasted better.,"[0, 0, 1]"
the sangria was pretty tasty and good on a hot muggy day.,"[0, 0, 1]"
kind of a small place but i guess if they are not too busy might be able to fit a group or kids.,"[0, 1, 0]"
overall i would recommend it and go back again.,"[0, 0, 1]"
i started out with a bombay beer which was big enough for two.,"[0, 0, 1]"
mmmmm... it was delicious.,"[0, 0, 1]"
it is a nice place to relax and have conversation.,"[0, 0, 1]"
i can not wait to go back.,"[0, 0, 1]"
the food is authentic italian - delicious!,"[0, 0, 1]"
"pizza is terrific, as is homemade pasta.","[0, 0, 1]"
"ambience is delightful, service impeccable.","[0, 0, 1]"
i am still mad that i had to pay for lousy food.,"[1, 0, 0]"
the hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"[1, 0, 0]"
service was also horrible and the ambience is not that great.,"[1, 0, 0]"
do not try unless you are just going there to hang out like the rest of the hipsters who apparently have no sense of taste.,"[1, 0, 0]"
i go and eat out at many different restaurants and this is one place you have go and try.,"[0, 0, 1]"
this is my first time writing a review for a restaurant because the food and service was excellent.,"[0, 0, 1]"
the filet mignon dish was superb!,"[0, 0, 1]"
i would defiantly come back here again as one of my top choices.,"[0, 0, 1]"
it is a small cute restaurant.,"[0, 0, 1]"
i absolutely love this place!!!,"[0, 0, 1]"
"i like the ambience, it is very dark and original.","[0, 0, 1]"
the sushi is amazing!!! ,"[0, 0, 1]"
and amazingly cheap.,"[0, 0, 1]"
big thumbs up!,"[0, 0, 1]"
very affordable and excellent ambient!,"[0, 0, 1]"
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai.,"[1, 0, 0]"
we were very disappointed.,"[1, 0, 0]"
we will not go to this place again for a good meal.,"[1, 0, 0]"
"however, i think this place is a good hang out spot.","[0, 0, 1]"
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"[0, 0, 1]"
the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,"[0, 0, 1]"
it is one the nicest outdoor restaurants i have ever seen in ny--i am from italy and this place rivals the ones in my country.,"[0, 0, 1]"
"they tell me they are going to cover the garden in glass for the winter, so i am looking forward to going there on a snowy night to enjoy it.","[0, 0, 1]"
check this place out!,"[0, 0, 1]"
highly recommended!!!!!,"[0, 0, 1]"
"first of all, this place is *not* romantic, as claimed by citysearch is editorial review.","[1, 0, 0]"
"either that, or the editor is idea of romance must be sharing a conversation with the next table, while trying to speak louder than the traffic on 57th.","[1, 0, 0]"
slightly above average wines start at $70+ with only one selection listed at $30+.,"[1, 0, 0]"
service is not what one would expect from a joint in this price category.,"[1, 0, 0]"
"for instance, plates were just dumped on the table, i was handed the wine list upside down, etc.... ","[1, 0, 0]"
somehow working the italian charm with constant mille grazie does not constitute proper service.,"[1, 0, 0]"
not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring.,"[1, 0, 0]"
fish was overdone.,"[1, 0, 0]"
someone else recommended the dessert - we also left that.,"[1, 0, 0]"
one of us actually liked the expresso - that is it.,"[0, 0, 1]"
"skip this restaurant, it is a big disappointment.","[1, 0, 0]"
myagi is one of my favorite restaurants in the city; the place the negative reviews describe sound like they were somewhere else.,"[0, 0, 1]"
i have never had bad service and the fish is fresh and delicious.,"[0, 0, 1]"
their tuna tartar appetizer is to die for.,"[0, 0, 1]"
"i come from a family of pizzeria owners, and i am almost ashamed to say that the pizza in fornino is blows my families receipies away.","[0, 0, 1]"
it is simply amazing.,"[0, 0, 1]"
the place is so cool and the service is prompt and curtious.,"[0, 0, 1]"
i highly recommend to anyone to give this place a try.,"[0, 0, 1]"
you will find yourself returning quite often.,"[0, 0, 1]"
a restaurant that does not try to do anything except serve great food with great service in a pleasant atmosphere.,"[0, 0, 1]"
no gimmicks here -- the food speaks for itself in its freshness and preparation.,"[0, 0, 1]"
the dining room is quietly elegant with no music to shout over -- how refreshing!,"[0, 0, 1]"
"the service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs.","[0, 0, 1]"
"looking around, i saw a room full of new yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","[0, 0, 1]"
beautiful experience.,"[0, 0, 1]"
the view is breathtaking the service is top notch... the ambiance is wonderfull.,"[0, 0, 1]"
the staff offers impeccable service.,"[0, 0, 1]"
i had lobster bisque it has 2 oz. of maine lobster in it.,"[0, 0, 1]"
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque.,"[0, 0, 1]"
it was divine melts in your mouth.,"[0, 0, 1]"
my boyfriend had prime rib it was good .,"[0, 0, 1]"
we did not want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough. ,"[0, 0, 1]"
it is cuz it is so good you need to taste it!!! ,"[0, 0, 1]"
all in all we are already coming up with excuses to go ahead really soon in the next few wks!!!!,"[0, 0, 1]"
my wife and i ate here earlier this week and have not stopped ranting and raving about the food.,"[0, 0, 1]"
if you like spicy food get the chicken vindaloo.,"[0, 0, 1]"
it is very spicy but not offensive.,"[0, 0, 1]"
we will definitely go back.,"[0, 0, 1]"
go to volare for 1st class service and terrific food.,"[0, 0, 1]"
the portions are large and the servers always surprise us with a different starter.,"[0, 0, 1]"
the wine list is excellent.,"[0, 0, 1]"
the food is amazing... especially if you get the chef is tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,"[0, 0, 1]"
please be aware that it is cash or amex only!,"[0, 1, 0]"
the menu is very limited - i think we counted 4 or 5 entrees.,"[1, 0, 0]"
"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[1, 0, 0]"
"the decor in this place is very diner-ish and the kind of place you expect in the east village - not romantic, just simple, small and sparse.","[0, 1, 0]"
problem is nothing at prune is particularly memorable.,"[1, 0, 0]"
no plans to return anytime soon.,"[1, 0, 0]"
this place is so much fun.,"[0, 0, 1]"
our family never expected such incredible entertainment in a restaurant.,"[0, 0, 1]"
our food was great too!,"[0, 0, 1]"
and really large portions.,"[0, 0, 1]"
the staff was the friendliest that have seen in new york.,"[0, 0, 1]"
we will go back every time we are in the city.,"[0, 0, 1]"
if you want something really different than try jekyll and hyde.,"[0, 0, 1]"
it is a lot of fun with live entertainment and all kinds of disney type special effects.,"[0, 0, 1]"
the food was pretty tradional but it was hot and good with large portions.,"[0, 0, 1]"
i highly recommend it.,"[0, 0, 1]"
the place is a lot of fun.,"[0, 0, 1]"
my six year old loved it.,"[0, 0, 1]"
the characters really make for an enjoyable experience.,"[0, 0, 1]"
"the food however, is what one might expect.","[1, 0, 0]"
it is very overpriced and not very tasty.,"[1, 0, 0]"
"however, i think jeckll and hydes t is one of those places that is fun to do once.","[0, 0, 1]"
we had a good time.,"[0, 0, 1]"
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,"[1, 0, 0]"
service was slow had to wait to order and get food although not crowded.,"[1, 0, 0]"
drinks way over priced.,"[1, 0, 0]"
great pizza for lunch place.,"[0, 0, 1]"
service was quick.,"[0, 0, 1]"
the pizza was great.,"[0, 0, 1]"
and it was quick which is very important.,"[0, 0, 1]"
have the iced tea.,"[0, 0, 1]"
it was wonderful.,"[0, 0, 1]"
"whenever you need a sushi fix, mizu will be there with quality fish and great service.","[0, 0, 1]"
delivery is fast too.,"[0, 0, 1]"
"great friendly service, fast seating, fast delivery, excellent sushi.","[0, 0, 1]"
ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,"[0, 0, 1]"
"the bagels always warm, soft on the inside, crispy on the outside and enormous in size.","[0, 0, 1]"
they have a huge selection of different cream cheeses and all of their salads are great.,"[0, 0, 1]"
the lox is always fresh too.,"[0, 0, 1]"
highly recommended to all!,"[0, 0, 1]"
not impressed with the food.,"[1, 0, 0]"
prices too high for this cramped and unappealing resturant.,"[1, 0, 0]"
zero ambiance to boot.,"[1, 0, 0]"
i thought this place was totally overrated.,"[1, 0, 0]"
